model,num_params,param_size_mb,best_epoch,best_val_loss,best_val_mse_all,best_val_mse_observed,best_val_mse_missing,test_mse_all,test_mse_observed,test_mse_missing,test_ate,test_rte,train_time_sec
LNN_only,555020,2.1172,20,0.20487707615993395,0.10131843682500165,0.05960856880933649,0.1989162193298554,0.04531254624336331,0.019640691657537124,0.10527783876705583,129.53516929898817,25.343693106249102,3305.53
LSTM_only,168108,0.6413,20,0.06377185906849069,0.040324067668789605,0.031662193227166284,0.060605639905090575,0.008995942454501388,0.006393650186657829,0.015052005413530585,129.84492436785666,24.954598579388765,424.75
Hybrid_Normal,724396,2.7634,20,0.06161698601451443,0.038698453755144274,0.030200570860794123,0.058596928766202434,0.008569766674973242,0.005842621811826369,0.014910778950873269,128.69891886523544,24.817789997080347,3648.85
