model,epoch,train_loss,val_loss,val_mse_all,val_mse_observed,val_mse_missing
LNN_only,1,0.30976296634571654,0.5655600374662563,0.38106565889139926,0.3156409513066408,0.5339959424876809
LNN_only,2,0.16034042289227368,0.41774446728773645,0.3029830641744996,0.265235718782196,0.3912208953565513
LNN_only,3,0.13042524398482933,0.3730010145351102,0.2571419787200142,0.21686231505083098,0.35131478316620807
LNN_only,4,0.09690668221233859,0.32983452543166064,0.1987581780519823,0.14907138679652215,0.3149273870372146
LNN_only,5,0.0848977379601143,0.3288324834047281,0.19990136873269304,0.15124293244702536,0.3137081911279974
LNN_only,6,0.07929082120488368,0.3052238662419459,0.18040571486047283,0.13271254362977794,0.2919526119502243
LNN_only,7,0.0738425543602805,0.2972714213611736,0.17115401572817446,0.12247001767280143,0.28502442043902787
LNN_only,8,0.06987334727261595,0.2982881757672186,0.17115781710802652,0.12202077409929685,0.2860860981711606
LNN_only,9,0.06579037206544101,0.28163174426656934,0.15803563860417516,0.10989719119011905,0.2706420245397923
LNN_only,10,0.0630710557418194,0.26771934183548635,0.15161949186131982,0.10653129176347431,0.25706621341236646
LNN_only,11,0.05945498985771095,0.26183850481401816,0.14592876144458827,0.10067533138167244,0.2517709715094882
LNN_only,12,0.05542911467183768,0.24967822563819964,0.13143501311770256,0.08450673530141498,0.24122755193935805
LNN_only,13,0.05228875909366646,0.23757670895803765,0.12340526991627282,0.07793974305809881,0.22978273556739287
LNN_only,14,0.04920266006273932,0.23811107014440233,0.12634878327342053,0.08209991248979888,0.2299010788769503
LNN_only,15,0.04595608952567616,0.2266838416220261,0.11568905141288106,0.07130692066710087,0.21955314956194236
LNN_only,16,0.04404610781456161,0.22123164720206973,0.1107230655979238,0.06632879958714978,0.21459876759782012
LNN_only,17,0.04199616888478672,0.21006007166080118,0.10512280546185028,0.06296954699167909,0.20376311704406577
LNN_only,18,0.04022674949379273,0.2075590366809892,0.10331373023491927,0.061384752590879145,0.2014205617443014
LNN_only,19,0.039397620614375725,0.20566801373736995,0.10155953509736712,0.059615335391936954,0.19970648053495238
LNN_only,20,0.03888279083822074,0.20487707615993395,0.10131843682500165,0.05960856880933649,0.1989162193298554
LSTM_only,1,0.3687841757653994,0.5611055746246093,0.38391612343613574,0.3218547850919862,0.5289200957270873
LSTM_only,2,0.09148195226325374,0.3150186722732347,0.22384913644157023,0.1931111413227997,0.2957075586212076
LSTM_only,3,0.04680652490713809,0.22466564200569822,0.1486743346397215,0.12137568927575157,0.21252807351346645
LSTM_only,4,0.03414568490569783,0.17602448499912204,0.11299577555855188,0.08989272006790991,0.1670352129781252
LSTM_only,5,0.02868061180039739,0.16071924054223616,0.10482493673835211,0.08455102647369687,0.15226413787171955
LSTM_only,6,0.024783649780992678,0.1454180863258823,0.0948280639116803,0.07648506129038435,0.13776958053073796
LSTM_only,7,0.020974980088760562,0.11706360991042085,0.0745100306564185,0.05885433352876411,0.11117817613760965
LSTM_only,8,0.01860364338563995,0.10733744688014378,0.07098238798540056,0.057923525715470096,0.10154509419923899
LSTM_only,9,0.01644769536981843,0.09701034836616317,0.06259648673977071,0.050031227749530914,0.09200722549122452
LSTM_only,10,0.015451863434724761,0.09160662474783345,0.058766192728907714,0.04673402448156195,0.0869332223629795
LSTM_only,11,0.014020259358083261,0.09038489045812176,0.05858281575375714,0.047007909545345415,0.08568409950014923
LSTM_only,12,0.0127052964451282,0.08417461392266375,0.053322577366803285,0.04194120017037369,0.07998049428475908
LSTM_only,13,0.011402793043322723,0.07818098940530731,0.05061019378937563,0.040561029005654566,0.07412488647016331
LSTM_only,14,0.01047110194093834,0.07474679015833272,0.04699471608918754,0.036713959098842126,0.07107539398897054
LSTM_only,15,0.00957155237887297,0.07241360290674038,0.045542663605824714,0.03559047160684912,0.06885455609455825
LSTM_only,16,0.00894264629168771,0.06929491794206108,0.043969891380135614,0.03462946238656588,0.06583197169393014
