model,num_params,param_size_mb,best_epoch,best_val_loss,best_val_mse_all,best_val_mse_observed,best_val_mse_missing,test_mse_all,test_mse_observed,test_mse_missing,test_ate,test_rte,train_time_sec
LNN_only,70028,0.2671,20,0.2714988961085118,0.13323745402084486,0.0774523837938469,0.26375365786601157,0.06166685110262489,0.02634446172005852,0.1441748326205661,1.6105360555123405,1.5752712641941595,3474.11
LSTM_only,158892,0.6061,19,0.12111980855949658,0.06375310090480538,0.04100380938631899,0.1170194275889611,0.013515644488253629,0.006719063789465751,0.029363496848508152,1.6791634032679716,1.6290686973661495,450.88
Hybrid_Normal,229900,0.877,20,0.12426079894038422,0.06783007995195307,0.04567749687538802,0.11969304960014546,0.013730013822698497,0.0070135540967459055,0.02939122743943771,1.681955638587415,1.6327714668335351,3754.29
