model,num_params,param_size_mb,best_epoch,best_val_loss,best_val_mse_all,best_val_mse_observed,best_val_mse_missing,test_mse_all,test_mse_observed,test_mse_missing,test_ate,test_rte,train_time_sec
LNN_only,70028,0.2671,20,0.269889534775578,0.45403673240758813,0.5327741693846925,0.269889534775578,0.39206160044629035,0.497665272850446,0.14516826618032266,0.9812589650186291,0.9956448012878965,3561.07
LSTM_only,158892,0.6061,20,0.11712733745283573,0.1229695394796548,0.12548894645327605,0.11712733745283573,0.03209682959670064,0.03321129075932448,0.029448059480051858,1.5351426451728367,1.494792643071539,490.43
Hybrid_Normal,229900,0.877,20,0.11880038258745326,0.22052634722729292,0.2639928230038639,0.11880038258745326,0.09075534840162151,0.11690281747211657,0.029596406405425057,1.393080038018626,1.355190474021139,3876.78
MultiRate_Hybrid_K2,229900,0.877,20,0.18453007468660534,0.30864867537108126,0.3616938347221111,0.18453007468660534,0.15230367337605724,0.18811660218304763,0.06857004173528276,1.3149865692590488,1.2716727889883475,3893.63
MultiRate_Hybrid_K3,229900,0.877,20,0.20172367646852707,0.41041579909965786,0.4996081499753204,0.20172367646852707,0.27996477651332347,0.3639339388089662,0.08369616771587918,1.232152507740896,1.1790440765864816,3753.17
RMSE_Fusion(LNN+LSTM),228920,0.8733,-,-,-,-,-,0.057582949672059416,0.06760080358162959,0.03412925821729962,1.4190974217772807,1.3906961399650655,-
