model,num_params,param_size_mb,best_epoch,best_val_loss,best_val_mse_all,best_val_mse_observed,best_val_mse_missing,test_mse_all,test_mse_observed,test_mse_missing,train_time_sec
LNN_only,72332,0.2759,30,0.22662352887889983,0.842559533355282,1.1059391142811343,0.22662352887889983,0.7370808945619276,0.9985636530274694,0.12583426864839356,4985.58
LSTM_only,158892,0.6061,30,0.10947773868915195,0.10636095585824366,0.1050431285081631,0.10947773868915195,0.02645115354557736,0.026200951604740928,0.027005038560684265,646.76
Hybrid_Normal,232204,0.8858,30,0.10053401773198205,0.2546529821428828,0.3205916042190924,0.10053401773198205,0.1619080758376166,0.21990277274192907,0.02627826062675315,5322.36
MultiRate_Hybrid_K2,232204,0.8858,30,0.15616421859083265,0.4696197017054228,0.603618757407132,0.15616421859083265,0.33230853410405276,0.45139455634243136,0.05386762639538725,5337.3
MultiRate_Hybrid_K3,232204,0.8858,30,0.1773955243701827,0.550445135820795,0.7099295144076468,0.1773955243701827,0.5013182318302833,0.6856435969097241,0.07040420290946463,5401.64
RMSE_Fusion(LNN+LSTM),231224,0.882,-,-,-,-,-,0.05248957043350918,0.06276008307364393,0.028459225544700695,-
