model,num_params,param_size_mb,best_epoch,best_val_loss,best_val_rmse_missing,best_val_mse_all,test_rmse_missing,test_mse_all,test_ate,test_rte,train_time_sec,checkpoint_reused
Mean,0,0.0,-1,0.8020656346231868,0.8707975962686647,0.24026225873485083,0.8703362610963542,0.23850502268676438,0.017334067434926926,0.04860074064449938,0.0,
LOCF,0,0.0,-1,1.1152512754179136,0.9715199512694939,0.3341091968642561,0.44001305484142045,0.06391938589054974,0.01974509296187323,0.052049079762086004,0.0,
KNN,0,0.0,-1,0.9100208541552097,0.8740247307017137,0.2726289825017837,0.3727838025474799,0.04619186398417159,0.01962794303394604,0.051839217030256374,0.0,
MICE,0,0.0,-1,0.5922884642787566,0.7538239858089102,0.17745624731842657,0.9051871350783063,0.2570792031873157,0.016183162097046656,0.04276167740980564,0.0,
GRU,92364,0.3523,20,0.1247752136279409,0.34225670343815046,0.11326419049934267,0.37115976606493234,0.08492186296244794,0.017433453078051893,0.04655191712958779,299.59,
Transformer,428108,1.6331,20,0.22331660012054075,0.4357701908131106,0.4603495279856634,0.2386770933338507,0.3646612500336774,0.011451075212281893,0.029330167325368882,562.16,
