model,epoch,train_loss,val_loss,val_rmse_missing,val_mse_missing,val_mse_all
GRU,1,0.4271261936018818,0.419323784463262,0.6282564097812756,0.419323784463262,0.2890071975262691
GRU,2,0.17930503521619418,0.2846192263423856,0.517971159803435,0.2846192263423856,0.23214452274968858
GRU,3,0.12960155645524649,0.23369270201212694,0.4683049565731244,0.23369270201212694,0.1896533412446263
GRU,4,0.10510654287155996,0.20182478462932196,0.4338102108012364,0.20182478462932196,0.13538365566335772
GRU,5,0.09250803736678247,0.18193609057322455,0.41194537529055936,0.18193609057322455,0.12995676628562472
GRU,6,0.08589420508632489,0.16664891957710715,0.3945620217085502,0.16664891957710715,0.12230614190281808
GRU,7,0.08097932232482899,0.16672093615990247,0.3941525447187183,0.16672093615990247,0.1354367220774293
GRU,8,0.07715829163974708,0.1544550068132396,0.3797741340174113,0.1544550068132396,0.12979435567428005
GRU,9,0.07446926027192587,0.1535914703525622,0.37851891530571513,0.1535914703525622,0.12685147849384482
GRU,10,0.07132259925727288,0.1472476802692734,0.3708709433018544,0.1472476802692734,0.12637772938596095
GRU,11,0.0686587209086517,0.14658458428360868,0.3699649019755539,0.14658458428360868,0.12238893963135972
GRU,12,0.06750794925681254,0.14031279251797346,0.3623633235113917,0.14031279251797346,0.12338461002565371
GRU,13,0.06481121870129865,0.13931088803282943,0.36094370453468877,0.13931088803282943,0.12183758838842937
GRU,14,0.06328494496486872,0.1328286210562397,0.3529167707353213,0.1328286210562397,0.11647620321483076
GRU,15,0.061615018696289194,0.13239604545096081,0.35218840131989726,0.13239604545096081,0.11364458560210126
GRU,16,0.060105587015250504,0.129837914705373,0.3488264837413254,0.129837914705373,0.11787542839500802
GRU,17,0.05884820218829038,0.12671390245608272,0.34470458373118557,0.12671390245608272,0.11465450612058467
GRU,18,0.05782591507641738,0.1256788524164495,0.343411617424976,0.1256788524164495,0.11306121618996032
GRU,19,0.05722245842242335,0.12493924152074681,0.3424754501875355,0.12493924152074681,0.11382834174624437
GRU,20,0.05721192120761549,0.1247752136279409,0.34225670343815046,0.1247752136279409,0.11326419049934267
Transformer,1,0.36260509684629666,0.40654680419621575,0.6128452629854642,0.40654680419621575,0.5633721436498146
Transformer,2,0.1707583330288773,0.3559614240977228,0.5653719428849499,0.3559614240977228,0.5771211787438203
Transformer,3,0.13057029091700842,0.3428164252364728,0.5509609238008143,0.3428164252364728,0.6382232040113774
Transformer,4,0.11372960447311993,0.3210649246116497,0.5294600264627699,0.3210649246116497,0.6745191961056384
Transformer,5,0.107172567575787,0.32872375201643805,0.5351460280350453,0.32872375201643805,0.6564949434769335
Transformer,6,0.10285409038264096,0.3132815223134128,0.5224484959182961,0.3132815223134128,0.6238188285916233
Transformer,7,0.09855403158395926,0.32799040171115085,0.5322138903749422,0.32799040171115085,0.6629982050242857
Transformer,8,0.09473448254007011,0.3008704699028206,0.5090650873731609,0.3008704699028206,0.6680403628803964
Transformer,9,0.09237659027447453,0.2919484105840605,0.5024544285909499,0.2919484105840605,0.6408362611187284
Transformer,10,0.0885307796383233,0.28518784170852096,0.4956701753149533,0.28518784170852096,0.6149518072455542
Transformer,11,0.08514807378507663,0.2823885461056745,0.4925033407758709,0.2823885461056745,0.6127480324381875
Transformer,12,0.08065904525683096,0.27573351193897405,0.4863277000659797,0.27573351193897405,0.5731477074902939
Transformer,13,0.07789602672744315,0.26707377218897094,0.47796670366754185,0.26707377218897094,0.550082702827857
Transformer,14,0.07422857463771095,0.2600177493627386,0.4711058038272388,0.2600177493627386,0.5554611254893629
Transformer,15,0.07115767656435981,0.25495086949731227,0.4658437464386225,0.25495086949731227,0.5201008164401074
Transformer,16,0.06813543464903607,0.24236957940762777,0.4549147995584524,0.24236957940762777,0.5098566274132116
Transformer,17,0.06530611913827483,0.23340152482950935,0.44559227790529093,0.23340152482950935,0.4855076330508844
Transformer,18,0.06290067554882371,0.22786489734561857,0.440204075967092,0.22786489734561857,0.4723477964150753
Transformer,19,0.06134770696255962,0.22434607550512078,0.43685533401647997,0.22434607550512078,0.46076664984964527
Transformer,20,0.06123498955602261,0.22331660012054075,0.4357701908131106,0.22331660012054075,0.4603495279856634
