model,trajectory_rmse_before,trajectory_rmse_after,rmse_improvement,ate_before,ate_after,ate_improvement,missing_imputation_rmse,missing_segment_start,missing_segment_end
Bidirectional_LNN,0.0017839678330346942,0.0020545958541333675,-0.00027062802109867334,0.0015791476471349597,0.0018279990181326866,-0.0002488513709977269,0.035854049026966095,1,28
BiLSTM,0.0017839678330346942,0.00243725860491395,-0.0006532907718792558,0.0015791476471349597,0.002143306192010641,-0.0005641585448756814,0.05426757410168648,1,28
Hybrid_BiLNN_BiLSTM,0.0017839678330346942,0.0023523462004959583,-0.0005683783674612641,0.0015791476471349597,0.002070818329229951,-0.0004916706820949912,0.048159338533878326,1,28
