sample_index,model,ate,full_imu_ate
0,BiLNN,0.002425669226795435,0.0024785450659692287
0,BiLSTM,0.0024762055836617947,0.0024785450659692287
0,Hybrid,0.0025688628666102886,0.0024785450659692287
3043,BiLNN,0.028604736551642418,0.029281049966812134
3043,BiLSTM,0.028670942410826683,0.029281049966812134
3043,Hybrid,0.027798885479569435,0.029281049966812134
6086,BiLNN,0.026465874165296555,0.02626904472708702
6086,BiLSTM,0.026417210698127747,0.02626904472708702
6086,Hybrid,0.026300005614757538,0.02626904472708702
9129,BiLNN,0.0198897086083889,0.019041800871491432
9129,BiLSTM,0.019496601074934006,0.019041800871491432
9129,Hybrid,0.021929992362856865,0.019041800871491432
12172,BiLNN,0.0036862846463918686,0.0035471292212605476
12172,BiLSTM,0.0034123531077057123,0.0035471292212605476
12172,Hybrid,0.0034680336248129606,0.0035471292212605476
