epoch,w_consistency=0_MSE_masked,w_consistency=0_MSE_all,w_consistency=0.1_MSE_masked,w_consistency=0.1_MSE_all,w_consistency=0.3_MSE_masked,w_consistency=0.3_MSE_all,w_consistency=0.5_MSE_masked,w_consistency=0.5_MSE_all,w_consistency=1_MSE_masked,w_consistency=1_MSE_all
1,0.42209346335553555,0.3128432654765088,0.4197499662315737,0.30221846663386726,0.423039451239375,0.30175377474497606,0.42326084959887,0.3072541089425918,0.4256903002304438,0.2942856234326038
2,0.3068800771561641,0.20817125551091892,0.2971522312419287,0.1921881022718343,0.2964704764925347,0.1893569473627322,0.2933210403138773,0.18507473092029114,0.29814178806675246,0.17898796646099557
3,0.20596010940378198,0.14030222556962602,0.20076125988791824,0.11777138278782198,0.20248060478349417,0.11723140519644734,0.19894523407142664,0.11479751910316004,0.20138698855028053,0.10946841208017809
4,0.1677160623184687,0.160959337545676,0.1689381342888912,0.10518481485846426,0.16713578629267203,0.09524834886407925,0.1671164558308624,0.09152470386274289,0.16611978145622683,0.08683276949259731
5,0.1477626752762521,0.191149850673211,0.14744200367904872,0.10190502808456132,0.14409939203728372,0.08795653732911521,0.14776132533688965,0.08430940150586892,0.14439360699789364,0.07621926019577926
6,0.132387415654576,0.2063319277031724,0.13529084969511068,0.10091806644463659,0.13303075722768942,0.08100140683020736,0.13458449225780963,0.08102836366707546,0.13048853363504265,0.07162541047305608
7,0.12541506793830118,0.21575598704358218,0.1249427244654476,0.09742448178110778,0.12289607865821324,0.0746356220276909,0.12458402468555291,0.07647537787321679,0.12308568603619001,0.06598668408839962
8,0.11789157531429661,0.21524377372200582,0.12120748671365533,0.09431706118714092,0.11787454444626269,0.07212119285314512,0.1168078841887615,0.07096247971139091,0.11718373279047704,0.06089837759158802
9,0.11369779749407692,0.21194037912241193,0.11400158162803514,0.0870872520458785,0.11206771686342717,0.06704250857605754,0.11256762616949931,0.06790933580273004,0.11171161095202929,0.05647995718481221
10,0.11249277289415596,0.20082481123946205,0.11137342905248653,0.08493542899038725,0.10933729327566939,0.06251898317698776,0.10948988297951377,0.062081441941647775,0.10939836495826367,0.05350791452624824
