model,epoch,train_loss,val_loss,val_rmse_missing,val_mse_missing,val_mse_all
Bidirectional_LNN,1,0.06882318939249875,0.18901216004654847,0.39655457047620124,0.1857978091694335,0.16564166849754133
Bidirectional_LNN,2,0.04138189777280378,0.12500616206595713,0.3258438041877639,0.12319687535169588,0.09722236341871007
Bidirectional_LNN,3,0.03500128513194999,0.11059384653691584,0.30708003646834064,0.10919014944220228,0.07962285754903596
Bidirectional_LNN,4,0.037151093471922615,0.09488546916035154,0.28341685529856175,0.09368751777868013,0.06791814219178222
Bidirectional_LNN,5,0.03141174754497778,0.10524570101925167,0.29716274639292395,0.10406261871986867,0.07077796591012714
Bidirectional_LNN,6,0.030769149547880167,0.09920738190334107,0.2905796347041204,0.09832364086175116,0.05773551399595468
Bidirectional_LNN,7,0.03183434110107096,0.09316837724248174,0.28111174831485347,0.09242078235796339,0.05220613998945723
Bidirectional_LNN,8,0.02642131463470042,0.09967051443271098,0.2872872704186433,0.09896269267686725,0.052637004512232494
Bidirectional_LNN,9,0.027530356321595915,0.0841852071267671,0.26750989054653,0.08360988726818915,0.04364205043870893
Bidirectional_LNN,10,0.024801635502720094,0.08017221697104897,0.260687338096606,0.0796637097210744,0.04027160032126942
Bidirectional_LNN,11,0.023890399409631575,0.07714589423191773,0.25712318843896526,0.07669123049663776,0.03743208765070053
Bidirectional_LNN,12,0.023411824814357825,0.07498449704958454,0.2509238566199578,0.0745451318985575,0.03644256751257968
Bidirectional_LNN,13,0.025260077354092386,0.07071948052598695,0.2454551609397089,0.07031514349383293,0.03400990732188802
Bidirectional_LNN,14,0.02016278910551277,0.06151858623663731,0.22988694354679454,0.061204033649081384,0.02806809157090276
Bidirectional_LNN,15,0.01899626370481048,0.060379623034015936,0.2271278699271265,0.060075934810613386,0.027501909763171035
Bidirectional_LNN,16,0.01829736814234421,0.05640183616498331,0.22010318499174297,0.05612422034751812,0.025293668918206037
Bidirectional_LNN,17,0.018494659474866997,0.05406072994147022,0.21519289699918712,0.05379383264645123,0.024404153342185653
Bidirectional_LNN,18,0.017693289593825004,0.05230012436613315,0.21180193700919342,0.052043125907096706,0.023511812046011597
Bidirectional_LNN,19,0.015631597069969017,0.05126972599277741,0.20987801023619007,0.05102027297970583,0.022966712879533023
Bidirectional_LNN,20,0.016648658756566535,0.0512232175989588,0.209792796580285,0.05097482619243746,0.022912711438368837
BiLSTM,1,0.08947725862315768,0.24349230941981584,0.4488861973064474,0.2398434182619338,0.1972773645422723
BiLSTM,2,0.04843632691587696,0.15297241643305814,0.3577657518377576,0.1495814578572392,0.16103803915512407
BiLSTM,3,0.03803885782316488,0.13182962949869073,0.33349327585741956,0.12907225878169118,0.13289119945478642
BiLSTM,4,0.03933959329600346,0.10861438945001546,0.3030684622960078,0.10612826849396674,0.11638775970607361
BiLSTM,5,0.03155861428525913,0.099811946646729,0.29059024457699123,0.09791248509029428,0.09373430056529725
BiLSTM,6,0.030632159190696326,0.0886164440772221,0.27674963057929064,0.08733952192105884,0.06778596050270057
BiLSTM,7,0.02999976833914537,0.07643317684279079,0.2556077186452524,0.07524923273329648,0.062272454342633544
BiLSTM,8,0.024609121026565914,0.0759653311632658,0.2541738044702173,0.07468704679824649,0.06519258313158158
BiLSTM,9,0.024861691410750668,0.06799301578089657,0.2409121814748475,0.06689880350833866,0.05684135750314906
BiLSTM,10,0.022562692802052326,0.06722850713533847,0.23992173365013278,0.06631754477519827,0.050317956976350664
BiLSTM,11,0.021640191459321095,0.06249688556080037,0.23156255350443367,0.061578803738263084,0.049099441346141796
BiLSTM,12,0.02171934090445099,0.060744191562893214,0.2277573066488526,0.059889582318882334,0.04648953009836516
BiLSTM,13,0.023646365054820505,0.058840346216209656,0.22398712015059327,0.05796593742552479,0.04664668101585745
BiLSTM,14,0.018902103355966038,0.05237528871714109,0.212397681993138,0.05163906991751406,0.03987187217502406
BiLSTM,15,0.018106855214878082,0.05309001563860036,0.2137173429382434,0.05242644198518729,0.03764015335734111
BiLSTM,16,0.01764210939365733,0.05083076917512675,0.20932748464992937,0.050216306106053495,0.03531060737855986
BiLSTM,17,0.01842687413604793,0.04936590096011512,0.20629255818637388,0.0487483374755154,0.03499109244653883
BiLSTM,18,0.017510098156031814,0.04853389042696838,0.20447653493424153,0.04792046753799427,0.034549004694979533
BiLSTM,19,0.016035511832418806,0.048000404438567276,0.20346972754061068,0.04739711046839553,0.03408005057933313
BiLSTM,20,0.017049220822347333,0.04796706565982696,0.20341773229347146,0.047366302138329555,0.03397995741495626
Hybrid_BiLNN_BiLSTM,1,0.06798406055623613,0.1850103766589855,0.39191296956757654,0.18155812683326453,0.17284942723127864
Hybrid_BiLNN_BiLSTM,2,0.040638206280206514,0.12157588145077962,0.3212452179853626,0.11972682515685229,0.09808857986572925
Hybrid_BiLNN_BiLSTM,3,0.03348743073709166,0.10742595287747415,0.3027222554339337,0.10602321945296099,0.07875903558423031
Hybrid_BiLNN_BiLSTM,4,0.03627259085182249,0.08712215515452562,0.2721556688953249,0.08614363791022951,0.058152494340525204
Hybrid_BiLNN_BiLSTM,5,0.029320148855043037,0.09485325944420539,0.28312942249594264,0.09401520549855316,0.05585229256367697
Hybrid_BiLNN_BiLSTM,6,0.028865691074077694,0.09703467024002861,0.2885224124793098,0.09627835476653979,0.05323446407136652
Hybrid_BiLNN_BiLSTM,7,0.031004276155998982,0.08393073028784095,0.2664895107959991,0.08337104157092282,0.04316380926015198
Hybrid_BiLNN_BiLSTM,8,0.023903645703497792,0.08923550283263675,0.2702962013125574,0.08860133322157265,0.04718617078390665
Hybrid_BiLNN_BiLSTM,9,0.024643796456585505,0.07278923108031336,0.24913228799256018,0.07232288102507158,0.0365923781114856
Hybrid_BiLNN_BiLSTM,10,0.02248041187867274,0.0721183386577023,0.2460122167620171,0.071669457357261,0.03583791046914551
Hybrid_BiLNN_BiLSTM,11,0.021606879486570734,0.07050012305096622,0.24563411336604488,0.07008465601057731,0.03398292883951639
Hybrid_BiLNN_BiLSTM,12,0.020706278734982434,0.06677085822710521,0.23748442180782867,0.06641361908323658,0.031152688726689907
Hybrid_BiLNN_BiLSTM,13,0.023402718656109406,0.0605375820633936,0.2274707400679125,0.06025123988052618,0.02699379136193534
Hybrid_BiLNN_BiLSTM,14,0.01808842028705806,0.05602623452085621,0.21856180236341885,0.05572897304932785,0.025893160256761045
