hidden_units,weight_path,num_params,state_dict_size_mb,inference_time_sec,inference_batches,inference_samples,inference_ms_per_batch,inference_ms_per_sample
32,results/lnn_hidden_units_ablation/best_model_lnn_h32_20260129_221904.pt,8932,0.03665924072265625,41.88696002960205,1319,21092,31.75660350993332,1.985916936734404
64,results/lnn_hidden_units_ablation/best_model_lnn_h64_20260129_221904.pt,30428,0.12542724609375,42.34550762176514,1319,21092,32.10425141907895,2.0076572928961283
128,results/lnn_hidden_units_ablation/best_model_lnn_h128_20260129_221904.pt,111292,0.460113525390625,42.40122056007385,1319,21092,32.14649018959352,2.0102987180008465
256,results/lnn_hidden_units_ablation/best_model_lnn_h256_20260129_221904.pt,424532,1.7582015991210938,43.1006064414978,1319,21092,32.67672967513101,2.0434575403706523
