hidden_units,epoch,train_loss,val_loss,val_mse_all,val_mse_masked
32,1,0.7682764348724573,0.5705067232516654,0.4627532876895245,0.5705067232516654
32,2,0.38292137120778746,0.41015508843069,0.30059421770528827,0.41015508843069
32,3,0.2741601168711668,0.31734289597102794,0.2241648462480266,0.31734289597102794
32,4,0.19633578324406825,0.22015635829300276,0.16838308394949394,0.22015635829300276
32,5,0.15251043241944753,0.18418281460343278,0.1554537414092291,0.18418281460343278
32,6,0.1344411488949925,0.17227620459913676,0.14415534731732163,0.17227620459913676
32,7,0.12552849086560017,0.15798368175648905,0.1266463641924579,0.15798368175648905
32,8,0.11841322039392904,0.1518030147021601,0.11623598149270836,0.1518030147021601
32,9,0.11516294889853831,0.14760264695390432,0.1078504574209045,0.14760264695390432
32,10,0.11299861063902943,0.1477105627761387,0.1032738619532727,0.1477105627761387
32,11,0.10914155776426782,0.14568041908693125,0.09502102665029823,0.14568041908693125
32,12,0.10806614158315411,0.14128840349789729,0.09579523411170608,0.14128840349789729
32,13,0.10615322998662009,0.1392557907050265,0.10175595948383653,0.1392557907050265
32,14,0.10448971245747814,0.13599132829563942,0.08807029488049532,0.13599132829563942
32,15,0.1031018001604913,0.13384417600158696,0.09433605780061038,0.13384417600158696
32,16,0.10195965088868815,0.13709137943704627,0.09278006026898374,0.13709137943704627
32,17,0.10096686031359425,0.13466678280630479,0.09125181842578393,0.13466678280630479
32,18,0.09932865208041163,0.131546490116453,0.08663627990945846,0.131546490116453
32,19,0.09889174168066851,0.12939499068311172,0.08853535755898258,0.12939499068311172
32,20,0.09861053818225674,0.1292660879673771,0.08658238305195522,0.1292660879673771
32,21,0.09681380945586802,0.1289550986737959,0.09053836451734644,0.1289550986737959
32,22,0.09638880507573135,0.12586397793634008,0.08795594568050115,0.12586397793634008
32,23,0.09604072945493637,0.12674388692289212,0.08975835922481301,0.12674388692289212
32,24,0.09504782042204397,0.1259974239226727,0.08910022788328754,0.1259974239226727
32,25,0.09499635208029668,0.12463820412302413,0.08945919576555016,0.12463820412302413
32,26,0.09384181621415742,0.12432444756151578,0.09042831663525268,0.12432444756151578
32,27,0.09379343525323801,0.12453360226212903,0.08765496306652323,0.12453360226212903
32,28,0.09329112376930014,0.12383365302845847,0.08934353134955665,0.12383365302845847
32,29,0.09353998822205388,0.12393280012050108,0.08946558899070342,0.12393280012050108
32,30,0.09298128548839964,0.12379820255415798,0.08958024650083472,0.12379820255415798
64,1,0.5751693028482949,0.44697226563410675,0.32202825062132245,0.44697226563410675
64,2,0.2983340681394565,0.3370002039010588,0.2269281593121029,0.3370002039010588
64,3,0.19820464585017372,0.22564478950974637,0.1515710366673773,0.22564478950974637
