model,epoch,train_loss,val_loss,val_rmse_missing,val_mse_missing,val_mse_all
Bidirectional_LNN,1,0.059441519385991425,0.17763118397030098,0.38794969973863713,0.17763118397030098,0.22135002947749613
Bidirectional_LNN,2,0.03593760699990627,0.1211130558915733,0.32286152856935957,0.1211130558915733,0.17391519399327854
Bidirectional_LNN,3,0.030488416756406452,0.10787666558696396,0.30506632527230315,0.10787666558696396,0.1239448332697047
Bidirectional_LNN,4,0.027485815841224802,0.09068377344875712,0.27988169472568086,0.09068377344875712,0.10671264977918798
Bidirectional_LNN,5,0.025862196592013484,0.10491836268935531,0.29913828638744167,0.10491836268935531,0.11541675863826135
Bidirectional_LNN,6,0.025899495149116145,0.09731543204539643,0.28812580397400833,0.09731543204539643,0.08296009971367538
Bidirectional_LNN,7,0.02489913196714212,0.0929524034965624,0.2819497256969232,0.0929524034965624,0.0945661365393992
Bidirectional_LNN,8,0.023184885995157355,0.09105855076865732,0.27879097825157517,0.09105855076865732,0.0761674301378511
Bidirectional_LNN,9,0.02388235220907824,0.08581305200151419,0.27108576320053845,0.08581305200151419,0.08419054940779008
Bidirectional_LNN,10,0.02150035229851285,0.07934835148520449,0.260494473235865,0.07934835148520449,0.06940718601506633
Bidirectional_LNN,11,0.020823859051522738,0.07511716934947606,0.25332449693136266,0.07511716934947606,0.06791687714598875
Bidirectional_LNN,12,0.019740278751626893,0.07223617737700226,0.24795152350217875,0.07223617737700226,0.06501343565499301
Bidirectional_LNN,13,0.018407363875888216,0.06912106037872164,0.24302459469094023,0.06912106037872164,0.06255390734346632
Bidirectional_LNN,14,0.017102245854352008,0.060693434366312145,0.22869189890400735,0.060693434366312145,0.05627402047956317
Bidirectional_LNN,15,0.016159217940057546,0.059555747342528775,0.2265201883506358,0.059555747342528775,0.05811422876380336
Bidirectional_LNN,16,0.01536364642664938,0.05572611506433598,0.21897506424819405,0.05572611506433598,0.056467139509635
Bidirectional_LNN,17,0.014333801187841966,0.05317842360954476,0.21410008483214082,0.05317842360954476,0.05423752830019691
