epoch,只有数据重建损失_MSE_masked,只有数据重建损失_MSE_all,自适应损失（基准）_MSE_masked,自适应损失（基准）_MSE_all,adaptive_loss_no_smooth_MSE_masked,adaptive_loss_no_smooth_MSE_all,引入物理损失_MSE_masked,引入物理损失_MSE_all,physics_informed-no_smooth_MSE_masked,physics_informed-no_smooth_MSE_all,physics_informed-recon+physic_MSE_masked,physics_informed-recon+physic_MSE_all
1,0.9580453784255651,0.7617224903433557,1.0637823695852382,1.0458146256127716,0.9447320742698315,0.7871070813381496,1.1768744192093832,1.0521197907942696,1.2060467625739546,1.0932959724045812,1.2294409429160433,1.1216220986374226
2,0.7688656894833807,0.572973550868081,1.0172298624889107,0.9953567948471601,0.9451925082176715,0.7136947664699197,1.04736864593193,0.9255429499781087,1.145225340853364,1.0450377296441569,1.1793172331787707,1.1009931383651406
3,0.56851738348413,0.40597215973767503,1.0205106711892726,1.0022717640402266,0.865663604831547,0.6236212468940819,0.9873852295374507,0.8581135857672334,1.0534624196312818,0.9521279246983605,1.11027522936089,1.0440202286540603
4,0.4730694456888237,0.34136314936522305,1.0115976618922007,0.9966896870695178,0.7912207027257434,0.5440904451257977,0.9244098593680344,0.819108669871627,1.003301156976274,0.8938578524253955,1.1333381122828168,1.0791929084117198
5,0.4066309659500933,0.2864250318750224,0.9888253968778256,0.9756162083704681,0.6796271619877948,0.43960136138946065,0.886906265549644,0.7956195838605185,1.0020980362502683,0.9063212975561987,1.138498615852482,1.0834458756707057
6,0.35983704158321295,0.2626665378790318,1.005437643835674,0.9952082592446229,0.5658244068459707,0.3492925199365498,0.8558192786222087,0.7748225720428986,0.9513257227936235,0.8523776516114259,1.1054758672806537,1.0206867835409263
7,0.31780836915388655,0.24161619209428203,0.9806142650035254,0.9687446855204993,0.5012005563185564,0.3053000881282929,0.9075022811281819,0.8351597782390121,0.9428232379527717,0.8398934857002298,1.1148996831882971,1.0481818211671499
8,0.2916065716388738,0.2503644063381426,0.9769067569678769,0.9597894515638137,0.44470580068802,0.2817342203935912,0.8112875036757188,0.748417734931019,0.7783243765247467,0.6690414134425279,1.019295824866564,0.9222875219789722
9,0.26363035211572805,0.2510424968425976,0.9623264254207371,0.9490739029757004,0.4155931578768046,0.2662077653751121,0.8400435914581602,0.7686259087644628,0.7539992055547297,0.6383838432103003,0.8788600893970425,0.7917819806640044
10,0.2501942920582937,0.28204298867572475,0.95676350542628,0.9435991452587998,0.38053587158947044,0.25635663182758517,0.8256501685007118,0.7598477523341235,0.7279873201239982,0.607574168267419,0.9074512988703304,0.8083209507689003
