model,epoch,train_loss,val_loss,val_mse_all,val_mse_masked
LNN_dim13,1,0.6110637395965673,1.067374182821453,0.7524196625347694,1.067374182821453
LNN_dim13,2,0.28597655367087815,1.0394267273801752,0.6538260810451172,1.0394267273801752
LNN_dim13,3,0.20319905143921393,1.0517039931784102,0.5222564630653368,1.0517039931784102
LNN_dim13,4,0.15620202618618084,0.6942295069946067,0.3301406939991443,0.6942295069946067
LNN_dim13,5,0.13221255381089816,0.552186064110782,0.2981432098060207,0.552186064110782
LNN_dim13,6,0.12292455981526074,0.4995394098031431,0.28130513704862975,0.4995394098031431
LNN_dim13,7,0.11733239017152877,0.46886791436720576,0.26142553339547114,0.46886791436720576
LNN_dim13,8,0.1127597884709135,0.4144594317826771,0.2535300768083996,0.4144594317826771
LNN_dim13,9,0.1084354861646543,0.40108188504233344,0.23725059983224317,0.40108188504233344
LNN_dim13,10,0.1060601620696328,0.372410615740914,0.2286120991478538,0.372410615740914
LNN_dim13,11,0.1035234773687821,0.3952022345807425,0.2284494833857344,0.3952022345807425
LNN_dim13,12,0.10169500056462018,0.34498578109315525,0.21439228473016975,0.34498578109315525
LNN_dim13,13,0.09957896335783321,0.3467257998912771,0.20759677398245469,0.3467257998912771
LNN_dim13,14,0.09886405108928574,0.34265253008715446,0.20603842278452297,0.34265253008715446
LNN_dim13,15,0.09701722953510343,0.33041351321008106,0.20222049909071965,0.33041351321008106
LNN_dim13,16,0.09616830639838637,0.33369238056028244,0.1991171612609432,0.33369238056028244
LNN_dim13,17,0.09568968777176697,0.3257107556458076,0.19839095521435055,0.3257107556458076
LNN_dim13,18,0.09430808399228598,0.3226563157568201,0.19534400065173532,0.3226563157568201
LNN_dim13,19,0.09277374905142591,0.32568934665299354,0.19264360280529566,0.32568934665299354
LNN_dim13,20,0.09234114209530117,0.3174992100931123,0.19086708044215717,0.3174992100931123
LNN_dim13,21,0.09205777381583145,0.31251632521150463,0.18996819063883136,0.31251632521150463
LNN_dim13,22,0.09113521100313955,0.3134403765423053,0.1928191331612785,0.3134403765423053
LNN_dim13,23,0.0904420295136092,0.30706052297860614,0.1907792917904798,0.30706052297860614
LNN_dim13,24,0.09027792702643339,0.3074751563985663,0.18728725366715568,0.3074751563985663
LNN_dim13,25,0.0888433370801059,0.3040701193221233,0.18886187649377373,0.3040701193221233
LNN_dim13,26,0.08863093516885058,0.30201373062120135,0.18905859864652738,0.30201373062120135
LNN_dim13,27,0.0889291150805433,0.3003993013957207,0.1889109110594028,0.3003993013957207
LNN_dim13,28,0.08882154353855436,0.3002793018190557,0.18876954587811848,0.3002793018190557
LNN_dim13,29,0.08869371546650479,0.2996044611053625,0.189761089785551,0.2996044611053625
LNN_dim13,30,0.08810758130593972,0.3001371747986586,0.1899145089133441,0.3001371747986586
LNN_dim19,1,2.9481825337462384,0.7683045271072413,0.612742458123416,0.7683045271072413
LNN_dim19,2,1.8604617356224518,0.7171206799695236,0.5302509748028341,0.7171206799695236
LNN_dim19,3,1.0356707037424442,0.7421691809012964,0.488660937213279,0.7421691809012964
LNN_dim19,4,0.46339491631429575,0.7342941903728868,0.3938952380206734,0.7342941903728868
LNN_dim19,5,0.26930232155280914,0.5307499262128483,0.29424718449701925,0.5307499262128483
LNN_dim19,6,0.20009381059405112,0.4101505267795095,0.2874547779981272,0.4101505267795095
LNN_dim19,7,0.16881847875957373,0.37873333871825715,0.27281078100422324,0.37873333871825715
LNN_dim19,8,0.15335531444938502,0.36510652211561917,0.27381198531376166,0.36510652211561917
LNN_dim19,9,0.14404880043291335,0.347979636066802,0.2578655251067633,0.347979636066802
LNN_dim19,10,0.13451861802984938,0.31649225948788734,0.2677539608951433,0.31649225948788734
LNN_dim19,11,0.13734491206889413,0.31578871710806883,0.24602784842913553,0.31578871710806883
LNN_dim19,12,0.12994411610110343,0.3239127868830933,0.2406422454504329,0.3239127868830933
LNN_dim19,13,0.13080771755679485,0.29597365447514296,0.23730966445879165,0.29597365447514296
LNN_dim19,14,0.12785212858548717,0.30790950393133576,0.22906103370199252,0.30790950393133576
LNN_dim19,15,0.11914816999389298,0.281826780558896,0.22507921588147825,0.281826780558896
LNN_dim19,16,0.1144677400864751,0.2751089616371845,0.22358103586473368,0.2751089616371845
LNN_dim19,17,0.11936747787220293,0.26874489010562197,0.22077408849967908,0.26874489010562197
LNN_dim19,18,0.11690616589198335,0.27331766645745403,0.21679626666662985,0.27331766645745403
LNN_dim19,19,0.11590081532458625,0.26720736105790177,0.2141093690707176,0.26720736105790177
LNN_dim19,20,0.12134262894523844,0.26254673225108033,0.21291467188866572,0.26254673225108033
LNN_dim19,21,0.11504626415165191,0.24983770664341995,0.2079036660496051,0.24983770664341995
LNN_dim19,22,0.11452953893225014,0.2693538754328824,0.21099230954078613,0.2693538754328824
LNN_dim19,23,0.10954377296752141,0.25470241275025973,0.20840740973242425,0.25470241275025973
LNN_dim19,24,0.10434106246937198,0.25442359027167744,0.20061338716867375,0.25442359027167744
LNN_dim19,25,0.10770993806695847,0.2518638687477888,0.20109225260583977,0.2518638687477888
LNN_dim19,26,0.10662743343335329,0.2496009037701039,0.20265307322282483,0.2496009037701039
LNN_dim19,27,0.11055937185699681,0.2508720439344964,0.20074224747993327,0.2508720439344964
LNN_dim19,28,0.10450328007915352,0.24770150321842577,0.20097032345678897,0.24770150321842577
LNN_dim19,29,0.10512961634255515,0.24796021351369268,0.2007233172811234,0.24796021351369268
LNN_dim19,30,0.10800042803352887,0.24834145420661186,0.2006142956166588,0.24834145420661186
LNN_dim25_window,1,0.616529183234132,0.9040983030608842,0.6989569574826875,0.9040983030608842
LNN_dim25_window,2,0.2677898063333166,0.660142363472996,0.4574328774530041,0.660142363472996
LNN_dim25_window,3,0.17468423302589964,0.5049447395600974,0.33599811012822167,0.5049447395600974
LNN_dim25_window,4,0.13181764908643007,0.4293144102976249,0.28649082574557666,0.4293144102976249
LNN_dim25_window,5,0.11476635058423418,0.38735879721214406,0.26576414894944395,0.38735879721214406
LNN_dim25_window,6,0.10750478584722133,0.38230961518358536,0.27203812265358357,0.38230961518358536
LNN_dim25_window,7,0.10165471989977327,0.34612723959148745,0.2697639093293171,0.34612723959148745
LNN_dim25_window,8,0.09660970538306418,0.33319352178418643,0.2610263120796945,0.33319352178418643
LNN_dim25_window,9,0.09299849101019285,0.32710370038351005,0.27248159198355487,0.32710370038351005
LNN_dim25_window,10,0.08911026945315091,0.30099355871653,0.24027809346744655,0.30099355871653
LNN_dim25_window,11,0.08557605361937808,0.29916145147930023,0.23250882902689146,0.29916145147930023
LNN_dim25_window,12,0.08339270113722098,0.3007392804882694,0.2295006818245174,0.3007392804882694
LNN_dim25_window,13,0.08074831823283993,0.28896375437544886,0.23771339872775718,0.28896375437544886
LNN_dim25_window,14,0.07890753366116614,0.2762843336797452,0.2297927251568547,0.2762843336797452
LNN_dim25_window,15,0.07670403404613416,0.2858655746521512,0.2245574178751449,0.2858655746521512
LNN_dim25_window,16,0.07490882880738386,0.27421575740204857,0.22538366653460856,0.27421575740204857
LNN_dim25_window,17,0.0737640454232051,0.26880604832353283,0.22196708522649886,0.26880604832353283
LNN_dim25_window,18,0.07206134335587061,0.27257636304605265,0.22633814634519245,0.27257636304605265
LNN_dim25_window,19,0.07148311508191894,0.26637034378464736,0.21486789441611218,0.26637034378464736
LNN_dim25_window,20,0.06986536872696454,0.2577578332406772,0.22383060993274517,0.2577578332406772
LNN_dim25_window,21,0.06940695599553803,0.2618926270006199,0.23046155507743474,0.2618926270006199
LNN_dim25_window,22,0.06775981261064422,0.25398643697170836,0.2221569165652781,0.25398643697170836
