model,input_dim,feature_dim,best_epoch,best_val_loss,best_val_mse_all,best_val_mse_masked,train_time_sec
LNN_dim13,13,6,29,0.2996044611053625,0.18728725366715568,0.2996044611053625,10043.82
LNN_dim19,19,9,28,0.24770150321842577,0.20061338716867375,0.24770150321842577,10565.95
LNN_dim25_window,25,6,30,0.2464769447783324,0.21415693246438142,0.2464769447783324,10214.54
