model,hidden_units,best_epoch,best_val_loss,best_val_mse_masked,best_val_mse_all,num_params,state_dict_size_mb,inference_time_sec,inference_batches,inference_samples,inference_ms_per_batch,inference_ms_per_sample,weight_path
gru,256,28,0.09175993617778676,0.09175993617778676,0.07162836547564981,309132,1.1792449951171875,1.954284429550171,1319,21092,1.4816409625096065,0.0926552450953049,results/gru_transformer_hidden_units_ablation/best_model_gru_h256_20260131_112228.pt
gru,128,30,0.09778740302381728,0.09778740302381728,0.05590811457680545,80844,0.3083953857421875,0.9224143028259277,1319,21092,0.6993285085867534,0.043732898863357086,results/gru_transformer_hidden_units_ablation/best_model_gru_h128_20260131_112228.pt
gru,64,30,0.11015366468104795,0.11015366468104795,0.06292675625567463,21996,0.0839080810546875,0.9491348266601562,1319,21092,0.719586676770399,0.04499975472502163,results/gru_transformer_hidden_units_ablation/best_model_gru_h64_20260131_112228.pt
gru,32,29,0.12955656718219813,0.12955656718219813,0.06485048579327463,6396,0.0243988037109375,0.8976311683654785,1319,21092,0.6805391723771634,0.04255789722954099,results/gru_transformer_hidden_units_ablation/best_model_gru_h32_20260131_112228.pt
transformer,256,30,0.07321009895403484,0.07321009895403484,0.09214985353760619,1684108,6.4243621826171875,1.7164978981018066,1319,21092,1.3013630766503461,0.08138146681688824,results/gru_transformer_hidden_units_ablation/best_model_transformer_h256_20260131_112228.pt
transformer,128,30,0.08613023297147016,0.08613023297147016,0.132473898579531,424268,1.6184539794921875,1.6481764316558838,1319,21092,1.2495651490946806,0.07814225448776237,results/gru_transformer_hidden_units_ablation/best_model_transformer_h128_20260131_112228.pt
transformer,64,30,0.11144923013495528,0.11144923013495528,0.2080108371102184,107692,0.4108123779296875,1.638005018234253,1319,21092,1.2418536908523525,0.0776600141396858,results/gru_transformer_hidden_units_ablation/best_model_transformer_h64_20260131_112228.pt
transformer,32,30,0.12925044647384423,0.12925044647384423,0.3314639461721725,27740,0.1058197021484375,1.5954084396362305,1319,21092,1.2095590899440716,0.07564045323517117,results/gru_transformer_hidden_units_ablation/best_model_transformer_h32_20260131_112228.pt
