method,kind,mse_all,mse_masked,train_time_sec,inference_time_sec,num_params,param_size_mb,total_time_sec,inference_ms_per_batch
LNN,deep,0.07186113654099631,0.09631168306664084,11423.15284705162,21.91518211364746,30428,0.12542724609375,11445.068029165268,66.40964276862867
GRU-D,deep,0.07835375670569412,0.11280032876653201,5524.381443738937,14.49485969543457,21944,0.08373260498046875,5538.876303434372,43.92381725889264
Transformer,deep,0.24591988888428068,0.14959306794811378,409.78368854522705,0.47363805770874023,107692,0.4108123779296875,410.2573266029358,1.435266841541637
GAIN,deep,1.24815806954196,1.2069493330789336,210.67704486846924,0.18799901008605957,5872,0.02239990234375,210.8650438785553,0.5696939699577562
