seq_len,epoch,train_loss,val_loss,val_mse_all,val_mse_masked
10,1,0.42850045039733153,0.4010706513556678,0.23613997023193792,0.4010706513556678
10,2,0.288975668297767,0.32269401320771435,0.16378975328161344,0.32269401320771435
10,3,0.253907390835641,0.29313167655610123,0.16514005664607848,0.29313167655610123
10,4,0.23723546148464936,0.28124149794795766,0.23950323235846088,0.28124149794795766
10,5,0.226296572571864,0.27380279547839675,0.2911245402374188,0.27380279547839675
10,6,0.22160129255057504,0.2753060657634221,0.320861785785544,0.2753060657634221
10,7,0.21802926999962588,0.2665423114682558,0.31932619754993,0.2665423114682558
10,8,0.21491363201513752,0.26890018985952463,0.34401814031843997,0.26890018985952463
10,9,0.21289447278640947,0.26844071172627004,0.35267605893841875,0.26844071172627004
10,10,0.21114203096069192,0.26423078910530245,0.3513272968518277,0.26423078910530245
10,11,0.20910265844590809,0.26174656235664034,0.34876854927600226,0.26174656235664034
10,12,0.20785609497881732,0.2592508948803848,0.3366286818783578,0.2592508948803848
10,13,0.20506216296078367,0.25637996083342035,0.33101848257215416,0.25637996083342035
10,14,0.20406336212356735,0.2536511941017348,0.32911779688687043,0.2536511941017348
10,15,0.20252242240155977,0.25519625434035886,0.3293710625134702,0.25519625434035886
10,16,0.2004024962865658,0.2508724748092519,0.32139858759079076,0.2508724748092519
10,17,0.19960438360985627,0.25178800949262004,0.32114545497941654,0.25178800949262004
10,18,0.1974764830230635,0.2503568915636061,0.30390719685811374,0.2503568915636061
10,19,0.19675137007054874,0.2544027315897745,0.30109666428719734,0.2544027315897745
10,20,0.19477182538837598,0.24826723760203837,0.2932629415019867,0.24826723760203837
10,21,0.19407974302662567,0.2486372645895652,0.292830863735519,0.2486372645895652
10,22,0.19296667306309342,0.246915384590043,0.2852176163603641,0.246915384590043
10,23,0.19155924036786076,0.245170142031802,0.28361442292473926,0.245170142031802
10,24,0.18964368398279824,0.24464204852924268,0.2760234075330612,0.24464204852924268
10,25,0.18833210290337707,0.2447600421149225,0.27241681700451525,0.2447600421149225
10,26,0.18819160088852332,0.24287693076775144,0.26680537128857157,0.24287693076775144
10,27,0.18717166092266058,0.2435647506951595,0.2669359956290875,0.2435647506951595
10,28,0.1863768084876029,0.2423375412081561,0.26646953128704315,0.2423375412081561
10,29,0.18597977797033008,0.2427480918360686,0.2665575919564849,0.2427480918360686
10,30,0.1871150899777244,0.24267831532163844,0.2664690671639134,0.24267831532163844
30,1,0.41538307900398463,0.37732278215813303,0.26644278836633173,0.37732278215813303
30,2,0.22825824075822215,0.23887355181259748,0.1518811517432366,0.23887355181259748
30,3,0.15832366445180723,0.1861364325238146,0.1091424950569685,0.1861364325238146
30,4,0.13557673053580938,0.17048661766897505,0.1317970829298067,0.17048661766897505
30,5,0.1244364851570062,0.1592533902493513,0.18813923399156474,0.1592533902493513
30,6,0.11675198955036939,0.15042807431289887,0.21250834762948387,0.15042807431289887
30,7,0.11207299978979171,0.1438255853767933,0.20987882670561686,0.1438255853767933
30,8,0.10930753690690476,0.14087408186136505,0.21269698145340032,0.14087408186136505
30,9,0.10692733625360465,0.14065569754477228,0.2121969067527183,0.14065569754477228
30,10,0.10351844748162897,0.13754445992995332,0.1936927904718953,0.13754445992995332
30,11,0.10258664408393499,0.13693165258507417,0.20025592809415899,0.13693165258507417
30,12,0.10085511131215623,0.13311520343887076,0.18977015992682478,0.13311520343887076
30,13,0.09879819761993269,0.13207346775022008,0.18186667848300456,0.13207346775022008
30,14,0.09787372339730854,0.130003391513584,0.17268618908215033,0.130003391513584
30,15,0.09687150127119376,0.12711524058813847,0.17513337781868055,0.12711524058813847
