model,seq_len,epoch,train_loss,val_loss,val_mse_all,val_mse_masked
gru,10,1,0.45278275263122825,0.4483160150877745,0.3356608791069005,0.4483160150877745
gru,10,2,0.3285203358083248,0.35183509238890437,0.40223122887201557,0.35183509238890437
gru,10,3,0.2706000017913237,0.3144306489148575,0.26524424630845334,0.3144306489148575
gru,10,4,0.24685487685315788,0.29243733404548433,0.13792129322757718,0.29243733404548433
gru,10,5,0.2332864311802849,0.2809685891491614,0.14614832858046511,0.2809685891491614
gru,10,6,0.22550465481819795,0.2733511466273398,0.16853535927030824,0.2733511466273398
gru,10,7,0.22098508008501705,0.2720923816391483,0.18077917090668366,0.2720923816391483
gru,10,8,0.21783724676394148,0.269349663997442,0.18942448912278478,0.269349663997442
gru,10,9,0.21741372757631372,0.2683254411136733,0.18375472213480862,0.2683254411136733
gru,10,10,0.2142631346582824,0.27050489614389717,0.17822316225278742,0.27050489614389717
gru,10,11,0.21308010339121142,0.26756601933438184,0.18327188654943913,0.26756601933438184
gru,10,12,0.21094337438056893,0.2626004498511947,0.17570758505761216,0.2626004498511947
gru,10,13,0.20974040744380423,0.26225844357789946,0.17086741634205094,0.26225844357789946
gru,10,14,0.20764338241491406,0.26132850364535004,0.1695412295654911,0.26132850364535004
gru,10,15,0.20588451913310746,0.26113722017265,0.16724931313728975,0.26113722017265
gru,10,16,0.2046849847253943,0.2553186458468435,0.1659175795758485,0.2553186458468435
gru,10,17,0.20227670623429347,0.2562776720524357,0.1607584178030414,0.2562776720524357
gru,10,18,0.2012218381191277,0.2569480136474723,0.1630777325932226,0.2569480136474723
gru,10,19,0.20050417762493433,0.2551909888189185,0.15627767320223152,0.2551909888189185
gru,10,20,0.19841042468219977,0.25307899875763584,0.15782530010040194,0.25307899875763584
gru,10,21,0.19768897074110864,0.2515462091728992,0.15958241995692826,0.2515462091728992
gru,10,22,0.1959702846091482,0.2487576905326621,0.15547595089651578,0.2487576905326621
gru,10,23,0.19464022992887467,0.2495196298266933,0.15324722505024227,0.2495196298266933
gru,10,24,0.19481244346541243,0.24798295486123229,0.1496414202363557,0.24798295486123229
gru,10,25,0.19374391555270865,0.24683154315138692,0.14781179000842767,0.24683154315138692
gru,10,26,0.19206548987616986,0.24654656473464068,0.14977804936888733,0.24654656473464068
gru,10,27,0.19133148626633467,0.24590942029810822,0.14596069812721293,0.24590942029810822
gru,10,28,0.19145268067318244,0.2457735367546433,0.14748759783295626,0.2457735367546433
gru,10,29,0.19129469279372724,0.24479112932249936,0.14576594622035471,0.24479112932249936
gru,10,30,0.1917854258240919,0.24486286538961963,0.1463031855729327,0.24486286538961963
gru,30,1,0.4271252874151686,0.4048623914823607,0.31506609319674495,0.4048623914823607
gru,30,2,0.2819893081961884,0.3201279515918307,0.2797959850019724,0.3201279515918307
gru,30,3,0.1946917780890724,0.21492056728864395,0.21168391210822773,0.21492056728864395
gru,30,4,0.14795408634654827,0.1779555477550655,0.11921335502889506,0.1779555477550655
gru,30,5,0.12937283354079993,0.16236833554715446,0.09192640486735176,0.16236833554715446
gru,30,6,0.1200745373252225,0.15470470682725487,0.0819610216867965,0.15470470682725487
gru,30,7,0.11402009796498522,0.15145602198438404,0.08656883244830657,0.15145602198438404
gru,30,8,0.11084289693040335,0.14808662943677592,0.08719754414027006,0.14808662943677592
gru,30,9,0.1076214959878271,0.1412259654197681,0.08708876816282986,0.1412259654197681
gru,30,10,0.10594788478641805,0.140349432154562,0.0868259902521917,0.140349432154562
gru,30,11,0.10325184179708474,0.13889330737902914,0.08685689228688544,0.13889330737902914
gru,30,12,0.10238886017689092,0.14285112820996618,0.09031552186526454,0.14285112820996618
gru,30,13,0.10066868921692734,0.13435875752114956,0.08371781672794266,0.13435875752114956
gru,30,14,0.10023962791724983,0.13540775615792278,0.08006460176996066,0.13540775615792278
gru,30,15,0.09883598909167864,0.13824923147847393,0.0850910183626589,0.13824923147847393
gru,30,16,0.09786293477139202,0.1332145870807924,0.08229601572492704,0.1332145870807924
gru,30,17,0.09603483042997184,0.1301890757652864,0.07652849870387743,0.1301890757652864
gru,30,18,0.09507514465400307,0.13053073535842383,0.07777888454919303,0.13053073535842383
gru,30,19,0.094816837054651,0.12956847222326992,0.07477144969004826,0.12956847222326992
gru,30,20,0.09364134541304042,0.12856485733533154,0.0758098833090469,0.12856485733533154
gru,30,21,0.09257837992578942,0.12630848938739478,0.07331772935583093,0.12630848938739478
gru,30,22,0.09128929595384053,0.12610151894885058,0.07244220219929198,0.12610151894885058
gru,30,23,0.09091037404977781,0.1251356799970169,0.07126174578763074,0.1251356799970169
gru,30,24,0.08967123304067527,0.12409983553761172,0.07013996046954246,0.12409983553761172
gru,30,25,0.08941541502213635,0.12386685109517628,0.07087460190773406,0.12386685109517628
gru,30,26,0.08856176936090442,0.12374531350580949,0.07072819026919663,0.12374531350580949
gru,30,27,0.08785326501754465,0.12267201155180694,0.06941585921389208,0.12267201155180694
gru,30,28,0.08858308404940136,0.1226120573093308,0.06977782143990478,0.1226120573093308
gru,30,29,0.0881157436725559,0.12215026776343194,0.06897430227774096,0.12215026776343194
gru,30,30,0.0880414962945699,0.12217406444033325,0.06905518446475253,0.12217406444033325
gru,50,1,0.44991393139588776,0.4018566798455124,0.311955522160682,0.4018566798455124
gru,50,2,0.2834869096684306,0.33536305043431897,0.2782340379784179,0.33536305043431897
gru,50,3,0.20023908790674652,0.21463424091208289,0.23646953148828076,0.21463424091208289
gru,50,4,0.13616758706091991,0.16410981996974838,0.1250763906093937,0.16410981996974838
gru,50,5,0.11062295474345961,0.14112644043515934,0.09014022655197623,0.14112644043515934
gru,50,6,0.09911364290038682,0.1328575424281591,0.07868043382152903,0.1328575424281591
gru,50,7,0.09323196688628926,0.12419601757265769,0.06439152470358434,0.12419601757265769
gru,50,8,0.08802188116899184,0.12118735155260149,0.0657513625972775,0.12118735155260149
gru,50,9,0.08557682822851737,0.11674559722941191,0.062039206686893576,0.11674559722941191
gru,50,10,0.08331171499164644,0.11639183928178223,0.0630087654158922,0.11639183928178223
gru,50,11,0.08105728353521373,0.1133545208044514,0.06299850158040342,0.1133545208044514
gru,50,12,0.0792465147984856,0.11348967959432156,0.06028226855806893,0.11348967959432156
gru,50,13,0.07763459969580969,0.11116722163954683,0.06160857487724807,0.11116722163954683
gru,50,14,0.07652019296671897,0.1111217780576043,0.06275202168121374,0.1111217780576043
gru,50,15,0.07554955471195923,0.10790918417570801,0.061027520549624105,0.10790918417570801
gru,50,16,0.07447005189879208,0.106026479197522,0.056978940401527074,0.106026479197522
gru,50,17,0.07331550542814906,0.10748443784477461,0.060281722657234214,0.10748443784477461
gru,50,18,0.07245832785636513,0.10536238458607744,0.05675414911562392,0.10536238458607744
gru,50,19,0.07172024863387576,0.10350759525926695,0.056633152522201774,0.10350759525926695
gru,50,20,0.07075519053648509,0.10317422844553571,0.0559065651211752,0.10317422844553571
gru,50,21,0.06982032775270695,0.10244339298692738,0.05513869366400972,0.10244339298692738
gru,50,22,0.06920140249394406,0.10145984519454153,0.05404271385607742,0.10145984519454153
gru,50,23,0.06825059028532432,0.10096715850350634,0.05310610448659155,0.10096715850350634
gru,50,24,0.06788469753469366,0.0996596759253685,0.05274986481937277,0.0996596759253685
gru,50,25,0.06701795205421267,0.09853649191619084,0.051685690379738976,0.09853649191619084
gru,50,26,0.06679970558463731,0.09887870748951351,0.051965500220693114,0.09887870748951351
gru,50,27,0.06646931658336656,0.0984350739799262,0.051648307293180415,0.0984350739799262
gru,50,28,0.0660884692443292,0.09797534247631895,0.051523621062380266,0.09797534247631895
gru,50,29,0.0658005330641425,0.0978105904108515,0.051575796344244064,0.0978105904108515
gru,50,30,0.06601475131708187,0.09773085435273068,0.05158276983419923,0.09773085435273068
gru,100,1,0.5092824830308187,0.41638090838897235,0.31972954131674153,0.41638090838897235
gru,100,2,0.2954633911188541,0.35694181301231087,0.2839471021411327,0.35694181301231087
gru,100,3,0.2248686634231168,0.26577510327109233,0.2517750603337638,0.26577510327109233
gru,100,4,0.14702497601761894,0.18017821162741218,0.19415401663399431,0.18017821162741218
gru,100,5,0.10785387572283794,0.13822639401089146,0.11482593564144215,0.13822639401089146
gru,100,6,0.089309262345272,0.12405099707043678,0.08956838474638636,0.12405099707043678
gru,100,7,0.08009962604255036,0.11228645192770137,0.070910017004686,0.11228645192770137
gru,100,8,0.07468210806250292,0.10743229791425926,0.06371980814803081,0.10743229791425926
gru,100,9,0.07037166252257106,0.102628694481198,0.05348443064262048,0.102628694481198
gru,100,10,0.06698601473938584,0.10265368373982597,0.0574502421709764,0.10265368373982597
gru,100,11,0.06482274788968731,0.09766819708724825,0.05278117446531294,0.09766819708724825
